Codigo_Ritual;Nome_Ritual;Descricao_Ritual;Elemento_Ritual;Circulo_Ritual;PE_Ritual;Execucao_Ritual;Alcance_Ritual;Area_Ritual;Alvo_Ritual;Duracao_Ritual;Efeito_Ritual;Resistencia_Ritual;Dados_Ritual;Tem Discente?;Tem Verdadeiro?;Imagem;Requisito_Discente;Requisito_Verdadeiro
31;Dissipar Ritual;"Você dissipa rituais ativos, como se a duração deles tivesse acabado. Efeitos de rituais instantâneos não podem ser dissipados (não se pode dissipar uma área de Paradoxo depois que já causou dano...). Faça um teste de Ocultismo; você anula quaisquer rituais ativos no alvo ou na área com DT igual ou menor que o resultado do teste. Você pode conjurar esse ritual em um item amaldiçoado para que se torne um item mundano (perdendo seus poderes) por um dia. Se o item estiver em posse de alguém, seu usuário pode fazer um teste de Vontade para negar o efeito";Medo;3;6;Padrão;Médio;esfera com 3m de raio;1 ser ou objeto;Instantânea;;Vontade anula;;FALSE;FALSE;;;
32;Dissonância Acústica;"Você manipula a vibração do ar, criando uma área de dissonância sonora. Enquanto estiverem na área, todos os seres ficam surdos. Essa dissonância impede que seres dentro da área conjurem rituais.
*Discente (+1 PE):* muda a área para “alvo: 1 objeto”. Em vez do normal, o alvo emana uma área de silêncio com 3m de raio. Se conjurar o ritual num objeto de um ser involuntário, ele tem direito a um teste de Vontade para anulá-lo.
*Verdadeiro (+3 PE):* muda a duração para cena. Em vez do normal, nenhum som pode deixar a área, mas seres dentro da área podem falar, ouvir e conjurar rituais normalmente.";Energia;2;3/4/6;Padrão;Médio;esfera com 6m de raio/esfera com 3m de raio/;/1 objeto/;Sustentada//Cena;;;;TRUE;TRUE;;;3º círculo
33;Distorção Temporal;"Este ritual distorce o fluxo de tempo em relação a você, criando um pequeno bolsão temporal que dura 3 rodadas. Durante este tempo, você pode agir, mas não pode se deslocar do lugar nem interagir com seres e objetos. Da mesma forma, efeitos contínuos não o afetam, e quaisquer efeitos que você iniciar não afetarão a área ao seu redor. Efeitos de área com duração maior que este efeito vão agir normalmente quando o bolsão temporal acabar.";Morte;4;10;Padrão;Pessoal;;veja texto;veja texto;;;;FALSE;FALSE;;;
59;Paradoxo;"O ritual cria uma poderosa implosão de distorção temporal contraditória, causando 6d6 pontos de dano de Morte em todos os seres na área.
*Discente (+3 PE):* muda a área para “efeito: esfera com tamanho Médio” e a duração para cena. Em vez do normal, cria uma esfera de emanações espirais sibilantes com 1,5m de diâmetro que causa 4d6 pontos de dano de Morte a qualquer ser no mesmo espaço. Você pode gastar uma ação de movimento para fazer a esfera voar 9m em qualquer direção. Um ser só pode sofrer dano da esfera uma vez por rodada.
*Verdadeiro (+7 PE):* muda o dano para 13d6. Seres reduzidos a 0 PV pelo dano do Paradoxo devem fazer um teste de Fortitude. Se falharam, são reduzidas a cinzas (morrem imediatamente). Requer 4º círculo.";Morte;2;3/6/10;Padrão;Médio;esfera com 6m de raio/-/esfera com 6m de raio;;Instantânea/Cena/Instantânea;-/esfera com tamanho Médio (1,5m de diâmetro)/-;Fortitude reduz à metade;6d6/4d6/13d6;TRUE;TRUE;;;;4º círculo
60;Perturbação;"Você dá uma ordem que o alvo deve ser capaz de ouvir (mas não precisa entender). Se falhar na resistência, ele deve obedecer à ordem em seu próprio turno da melhor maneira possível. Escolha um dos efeitos.
*Fuja:* O alvo gasta seu turno tentando se afastar de você (usando todas as suas ações).
*Largue:* O alvo solta quaisquer itens que esteja segurando e não pode pegá-los novamente até o início de seu próximo turno. Como esta é uma ação livre, ele ainda pode executar outras ações (exceto pegar aquilo que largou).
*Pare:* O alvo fica pasmo (não pode realizar ações, só reações).
*Sente-se:* Com uma ação livre, o alvo se senta no chão (se estava pendurado ou voando, desce até o chão). Ele pode fazer outras ações, mas não se levantar até o início de seu próximo turno.
*Venha:* O alvo gasta seu turno se aproximando de você (usando todas as suas ações).
*Discente (+2 PE):* muda o alvo para “1 ser” e adiciona o seguinte comando: “Sofra. O alvo é acometido de dor aguda, sofrendo 3d8 pontos de dano de Conhecimento e ficando abalado por uma rodada”.
*Verdadeiro (+5 PE):* muda o alvo para “até 5 seres” ou adiciona o seguinte comando: “Ataque. O alvo deve fazer a ação agredir contra um outro alvo a sua escolha em alcance médio, com todas as suas capacidades”. Requer 3º círculo e afinidade.";Conhecimento;1;1/3/6;Padrão;Curto;;1 pessoa/1 ser/até 5 seres;1 rodada;;Vontade (anula);-/3d8/-;TRUE;TRUE;;;;3º círculo e afinidade
61;Poeira da Podridão;"Você manifesta uma nuvem de poeira que apodrece os seres na área. Ao conjurar o ritual, e no início de cada um de seus turnos, seres e objetos na área sofrem 4d8 pontos de dano de Morte (Fortitude reduz à metade). Alvos que falharem no teste também não podem recuperar PV de nenhuma forma por uma rodada.
*Verdadeiro (+4 PE):* muda o dano para 4d8+16.";Morte;3;6/10;Padrão;Médio;nuvem com 6m de raio;;Sustentada;;Fortitude (veja texto);4d8/4d8+16;FALSE;TRUE;;;;
62;Polarização Caótica;"Você gera uma aura magnética sobrenatural. Escolha um dos efeitos a seguir.
*Atrair:* você pode usar uma ação de movimento para puxar um objeto metálico de espaço 2 ou menor dentro do alcance. Se o objeto estiver livre, voa para suas mãos (caso tenha mãos livres para apanhá-lo) ou para seus pés.
*Repelir:* você repele objetos de espaço 2 ou menor (o que envolve quase todos os projéteis e armas de arremesso), recebendo resistência a balístico, corte, impacto e perfuração 5.
*Discente (+2 PE):* nesta versão a energia magnética é expelida de uma única vez e arremessa até 10 objetos, ou um total de 10 espaços, o que for menor. Os objetos devem estar a até 3m uns dos outros. Objetos arremessados podem atingir seres em seu caminho, causando de 1 ponto de dano de impacto por espaço (objetos macios, sem pontas ou sem fio) até 1d6 pontos de dano por espaço (objetos duros, pontudos ou afiados). Seres atingidos têm direito a um teste de Reflexos para reduzir o dano à metade. Seres dentro da capacidade de carga do efeito podem ser arremessadas, mas têm direito a um teste de Vontade para evitar o efeito (em si mesmos ou em objetos que estejam segurando). Um ser arremessado contra uma superf ície sólida sofre 1d6 pontos de dano de impacto para cada 3m que “voou” no deslocamento (incluindo outros seres; nesse caso, ambos sofrem o dano).
*Verdadeiro (+5 PE):* muda o alcance para médio. Você pode usar uma ação de movimento para fazer com que a força magnética levite e mova um ser ou objeto de espaço 10 ou menor por até 9m em qualquer direção dentro do alcance. Um ser pode anular o efeito sobre ele, ou sobre um objeto que possua, passando num teste de Vontade. O alvo cai no chão se sair do alcance ou o efeito terminar.";Energia;1;1/3/6;Padrão;Curto//Médio;;você;Sustentada;;Vontade anula;;TRUE;TRUE;;;;
63;Possessão;"Você projeta sua consciência no corpo de uma pessoa viva ou morta. Enquanto possuir o alvo, você assume o controle total do corpo dele (se o alvo estiver vivo, a consciência dele troca de lugar com a sua, ficando inerte dentro do seu corpo desacordado). Em termos de jogo, você continua usando a sua ficha, mas com os atributos físicos (Agilidade, Força e Vigor) e deslocamento do alvo. Se o alvo passar no teste de resistência, sabe que você tentou possuí-lo e fica imune a este ritual por um dia. Caso qualquer um dos envolvidos no ritual morra, a mente sobrevivente ficará permanentemente presa no corpo novo, a não ser que use o ritual novamente para voltar a seu corpo antigo. Retornar para o seu corpo voluntariamente é uma ação livre.";Conhecimento;4;10;Padrão;Longo;;1 pessoa viva ou morta;1 dia;;Vontade anula;;FALSE;FALSE;;;
64;Presença do Medo;"Você se torna um receptáculo para o Medo puro, emanando ondas de pavor e ruína. Alvos dentro da área no momento da conjuração ou no início de cada um de seus turnos são acometidos por sofrimento intenso e sofrem 5d8 de dano mental e 5d8 de dano de Medo (Vontade reduz ambos à metade). Alvos que falharem no teste ficam atordoados por uma rodada (este efeito funciona apenas uma vez por cena).";Medo;4;10;Padrão;Pessoal;emanação de 9m de raio;;Sustentada;;Vontade reduz ambos à metade;5d8 + 5d8;FALSE;FALSE;;;
65;Proteção contra Rituais;"Você canaliza uma aura de Medo puro, que protege o alvo contra efeitos paranormais. O alvo recebe resistência a dano paranormal 5 e +5 em testes de resistência contra rituais e habilidades de criaturas paranormais.
*Discente (+3 PE):* muda o alvo para “até 5 seres tocados”. Requer 3º círculo.
*Verdadeiro(+6 PE):* muda o alvo para “até 5 seres tocados”, a resistência a dano para 10 e o bônus em testes de resistência para +10. Requer 4º círculo.";Medo;2;3/6/9;Padrão;Toque;;1 ser/até 5 seres tocados/até 5 seres tocados;Cena;;;;TRUE;TRUE;;;3º círculo;4º círculo
66;Purgatório;"Você faz brotar uma poça de sangue pegajoso na área afetada. Inimigos na área se tornam vulneráveis a dano balístico, de corte, de impacto e de perfuração. Um alvo que tente sair da área é acometido de uma dor terrível; sofre 6d6 pontos de dano de Sangue e deve fazer um teste de Fortitude. Se passar, consegue sair. Se falhar, a dor faz com que não consiga se mover e perca a ação de movimento.";Sangue;3;6;Padrão;Curto;área de 6m de raio;;Sustentada;;Fortitude parcial;6d6;FALSE;FALSE;;;
67;Rejeitar Névoa;"Você manifesta um leve redemoinho de névoa que se movimenta suavemente dentro da área. Rituais conjurados dentro da área têm seu custo aumentado em +2 PE por círculo e sua execução aumentada em um passo (de livre para movimento, de movimento para padrão, de padrão para completa, de completa para duas rodadas). Rejeitar a Névoa anula os efeitos de Cinerária, a menos que o conjurador de Cinerária use uma ação completa por rodada para manter o ritual ativo, neutralizando o efeito dos dois rituais.
*Discente (+2 PE):* além do normal, a DT de testes de resistência contra rituais realizados na área diminui em -5.
*Verdadeiro (+ 5 PE):* como discente, e o dano causado dentro da névoa por rituais é sempre mínimo.";Medo;2;3/5/8;Padrão;Curto;nuvem de 6m de raio;;Cena;;;;TRUE;TRUE;;;;
68;Salto Fantasma;"Seu corpo se transforma momentaneamente em Energia pura e viaja até outro ponto. Você não precisa perceber nem ter linha de efeito ao seu destino, podendo simplesmente imaginá-lo, desde que já tenha observado o local de alguma forma (pessoalmente, por fotografia, por vídeo...). Por exemplo, pode se transportar 3m adiante para ultrapassar uma porta fechada. Uma vez transportado, você não pode agir pelo resto do seu turno. Este ritual não permite que você apareça dentro de um corpo sólido; se o ponto de chegada não tem espaço livre, você ressurge na área vazia mais próxima.
*Discente (+2 PE):* muda a execução para reação. Em vez do normal, você salta para um espaço adjacente (1,5m), recebendo +10 na Defesa e em testes de Reflexos contra um ataque ou efeito que esteja prestes a atingi-lo.
*Verdadeiro (+4 PE):* muda o alcance para longo e o alvo para você e até dois outros seres voluntários que você esteja tocando.";Energia;3;6/8/10;Padrão/Reação/Padrão;Médio/Adjacente/Longo;;você/você/você e até dois seres voluntários tocados;Instantânea;;;;TRUE;TRUE;;;;
69;Sopro do Caos;"Você altera os movimentos de massas de ar de forma caótica. Ao conjurar o ritual, escolha um dos efeitos abaixo.
*Ascender:* cria uma corrente de ar ascendente capaz de erguer do chão um ser ou objeto Médio, fazendo o alvo flutuar para cima e para baixo conforme sua vontade. Você pode gastar uma ação de movimento para subir ou descer o alvo até 6m por rodada, até um máximo de 30m de altura. Você não pode mover o alvo horizontalmente — mas o alvo pode, por exemplo, escalar uma colina ou se apoiar no teto para mover-se lateralmente (com metade de seu deslocamento normal). Um ser levitando fica vulnerável. Alvos involuntários têm direito a um teste de Fortitude no início de cada um de seus turnos para encerrar o efeito. Derrubar um alvo flutuando (simplesmente parando a corrente de ar) causa o dano normal de queda, mas um alvo que passe no teste pode “nadar” para o chão contra a corrente. Você pode usar essa opção para fazer uma manobra derrubar contra um alvo voador dentro do alcance, usando Ocultismo em vez de Luta.
*Sopro:* cria uma lufada de vento a partir de suas mãos, que empurra qualquer alvo Médio ou menor, em um cone de 4,5m — faça uma manobra empurrar usando Ocultismo em vez de Luta, usando uma mesma rolagem sua para todos os alvos. A lufada de vento também faz qualquer coisa que um vento forte e súbito faria, como levantar pó, dispersar vapores, apagar chamas, espalhar papéis ou mover uma embarcação. Manter o sopro ativo exige uma ação padrão no seu turno.
*Vento:* cria uma área de vento forte (página 291) dentro do alcance. Se conjurada numa área que já esteja com algum efeito de vento, aumenta esse efeito em um passo. Manter o vento ativo requer uma ação de movimento. Você também pode usar essa opção para reduzir os efeitos de vento em uma área.
*Discente (+3 PE):* passa a afetar alvos Grandes.
*Verdadeiro (+9 PE):* passa a afetar alvos Enormes.";Energia;2;3/6/12;Padrão;Médio;varia;;Sustentada;;veja texto;;TRUE;TRUE;;;;
70;Tecer Ilusão;"Este ritual cria uma ilusão visual (uma pessoa, uma parede...) ou sonora (um grito de socorro, um uivo assustador...). O ritual cria apenas imagens ou sons simples, com volume equivalente à voz de uma pessoa para cada cubo de 1,5m no efeito. Não é possível criar cheiros, texturas ou temperaturas, nem sons complexos, como uma música ou diálogo. Seres e objetos atravessam uma ilusão sem sofrer dano, mas o ritual pode, por exemplo, esconder uma armadilha ou emboscada. A ilusão é dissipada se você sair do alcance.
*Discente (+2 PE):* muda o efeito para até 8 cubos de 1,5m e a duração para sustentada. Você pode criar ilusões de imagem e sons combinados, e pode criar sons complexos, odores e sensações térmicas. Também pode criar sensações táteis, como texturas; objetos ainda atravessam a ilusão, mas seres não conseguem atravessá-la sem passar em um teste de Vontade. A cada rodada, você pode usar uma ação livre para mover a imagem ou alterar o som, como aumentar o volume ou fazer com que pareça se afastar ou se aproximar, ainda dentro dos limites do efeito. Você pode, por exemplo, criar a ilusão de um fantasma que anda pela sala, controlando seus movimentos. A ilusão ainda é incapaz de causar ou sofrer dano. Quando você para de sustentar o ritual, a imagem ou som persistem por mais uma rodada antes do ritual se dissipar. Requer 2º círculo.
*Verdadeiro (+ 5 PE):* você cria a ilusão de um perigo mortal. Quando o ritual é conjurado, e no início de cada um de seus turnos, um alvo interagindo com a ilusão deve fazer um teste de Vontade; se falhar, acredita que a ilusão é real e sofre 6d6 pontos de dano de Conhecimento. O alvo racionaliza o efeito sempre que falha no teste (por exemplo, acredita que o mesmo teto pode cair sobre ele várias vezes). Se um alvo passar em dois testes de Vontade seguidos, o efeito é anulado para ele. Requer 3º círculo.";Conhecimento;1;1/3/6;Padrão;Médio;;-;Cena/Sustentada/Sustentada;ilusão que se estende a até 4 cubos de 1,5m/até 8 cubos de 1,5m/até 8 cubos de 1,5m;Vontade desacredita;-/-/6d6;TRUE;TRUE;;;2º círculo;3º círculo
71;Tela de Ruído;"Este ritual cria uma película de energia que recobre seu corpo e absorve energia cinética. Você recebe 30 PV temporários, mas apenas contra dano balístico, de corte, de impacto ou de perfuração. Alternativamente, você pode conjurar este ritual como uma reação quando sofrer dano, recebendo resistência 15 apenas contra esse dano.
*Discente (+3 PE):* aumenta os PV temporário para 60 e a resistência para 30.
*Verdadeiro (+7 PE):* muda o alcance para curto e o alvo para 1 ser ou objeto Enorme ou menor. Em vez do normal, cria uma esfera imóvel e tremeluzente com o tamanho do alvo e centrada nele. Nenhum ser, objeto ou efeito de dano pode passar pela esfera, embora seres possam respirar normalmente dentro dela. O alvo tem direito a um teste de Reflexo para evitar ser aprisionado. Requer 4º círculo.";Energia;2;3/6/10;Padrão ou Reação;Pessoal//Curto;;você//1 ser ou objeto Enorme ou menor;Cena;;;;TRUE;TRUE;;;;4º círculo
72;Teletransporte;"O ritual transforma o corpo e equipamento dos alvos em energia pura e os faz reaparecer num lugar a sua escolha a até 1.000km. Quando conjura este ritual, você precisa fazer um teste de Ocultismo, com DT definida pelo seu conhecimento sobre o destino.
*DT 25:* Um lugar que você visita com frequência.
*DT 30:* Um lugar que você já visitou pelo menos uma vez.
*DT 35:* Um lugar que você nunca visitou e só conhece a partir da descrição de outra pessoa que esteve lá.
Você não pode se teletransportar para um lugar que nunca visitou sem a descrição de alguém. Ou seja, não pode se transportar para “o local onde Júlia está presa” se nunca esteve lá nem falou com alguém que esteve. Se passar no teste, os alvos chegam ao lugar desejado. Se falhar, você chega em um lugar parecido, mas errado ou distante (até 1d10 x 10 km). Se você falhar por 5 ou mais, o ritual falha, mas você gasta PE normalmente e fica atordoado por 1d4 rodadas.
*Verdadeiro (+5 PE):* pode se teletransportar para qualquer local na Terra.";Energia;4;10/15;Padrão;Toque;;até 5 seres voluntários;Instantânea;;;;FALSE;TRUE;;;;
73;Tentáculos de Lodo;"Uma fenda sombria se abre no chão, de onde surgem tentáculos feitos de lodo da Morte. Ao conjurar o ritual e no início de cada um de seus turnos, você faz um teste da manobra agarrar (usando Ocultismo em vez de Luta) contra cada alvo na área. Se você vencer, o ser é agarrado; se já estava agarrado, é esmagado, sofrendo 4d6 pontos de dano (metade impacto, metade Morte). A área do ritual conta como terreno difícil. Os tentáculos são imunes a dano.
*Verdadeiro (+5 PE):* aumenta o raio da área para 9m e aumenta o dano dos tentáculos para 6d6.";Morte;3;6/11;Padrão;Médio;círculo com 6m de raio/círculo com 9m de raio;;Cena;;;4d6/6d6;FALSE;TRUE;;;;
74;Terceiro Olho;"Seus olhos se enchem de sigilos e você passa a enxergar auras paranormais em alcance longo. Rituais, itens amaldiçoados e criaturas emitem auras. Você sabe o elemento da aura e seu poder aproximado — rituais de 1º círculo e criaturas de VD até 80 emitem uma aura fraca; rituais de 2º e 3º círculos e criaturas de VD entre 81 e 280 emitem uma aura moderada, e rituais de 4º círculo e criaturas de VD 281 ou maior emitem uma aura poderosa. Além disso, você pode gastar uma ação de movimento para descobrir se um ser que possa ver em alcance médio tem poderes paranormais ou se é capaz de conjurar rituais e de quais elementos.
*Discente (+2 PE):* muda a duração para 1 dia.
*Verdadeiro (+5 PE):* também pode enxergar objetos e seres invisíveis, que aparecem como formas translúcidas";Conhecimento;1;1/3/6;Padrão;Pessoal;;você;Cena/1 dia/Cena;;;;TRUE;TRUE;;;;
75;Transfigurar Água;"Você canaliza Energia sobre um corpo de água, para que ele adquira movimentos e comportamentos paranormais e caóticos. Ao conjurar o ritual, escolha um dos seguintes efeitos.
*Congelar:* toda a água mundana na área é congelada. Seres nadando na área ficam imóveis; escapar exige gastar uma ação padrão e passar num teste de Atletismo (DT igual a do ritual).
*Derreter:* gelo mundano na área vira água e o ritual termina. A critério do mestre, isso pode criar terreno difícil.
*Enchente:* eleva o nível da água mundana na área em até 4,5m. A sua escolha, muda área para “alvo: uma embarcação”. O alvo recebe +6m em seu deslocamento pela duração do efeito.
*Evaporar:* toda a água e gelo mundano na área evaporam instantaneamente e o ritual termina. Qualquer ser vivo na área sofre 5d8 de dano de Energia (Fortitude reduz à metade). Criaturas de Morte sofrem o dobro desse dano.
*Partir:* diminui o nível de toda água mundana na área em até 4,5m. Em um corpo d’água raso, isso abre um caminho seco, que pode ser atravessado a pé. Em um corpo d’água profundo, cria um redemoinho que pode prender barcos (um teste de Pilotagem com DT igual à do ritual permite ao piloto livrar a embarcação).
*Verdadeiro (+5 PE):* aumenta o deslocamento de enchente para +12m e o dano de evaporar para 10d8.";Energia;3;6/11;Padrão;Longo;esfera com 30m de raio;;Cena;;veja texto;5d8/10d8;FALSE;TRUE;;;;
76;Transfigurar Terra;"Você imbui terra, pedra, lama, argila ou areia na área com Energia, gerando efeitos sobrenaturais e caóticos. Ao conjurar o ritual, escolha um dos seguintes efeitos.
*Amolecer:* se afetar o teto, uma coluna ou suporte, provoca um desabamento que causa 10d6 pontos de dano de impacto aos seres na área (Reflexos reduz à metade). Se afetar um piso de terra ou pedra, cria terreno difícil de areia ou argila, respectivamente.
*Modelar:* pode usar pedra ou argila para criar um ou mais objetos simples de tamanho Enorme ou menor (sem mecanismos ou partes móveis). Por exemplo, pode transformar um tijolo em um martelo, criar uma passagem onde antes havia apenas uma parede ou levantar uma ou mais paredes que oferecem cobertura total (RD 8 e 50 PV para cada 3m).
*Solidificar:* transforma lama ou areia em terra ou pedra. Seres com os pés na superfície ficam agarrados. Eles podem se soltar com uma ação padrão e um teste de Atletismo (DT igual a do ritual).
*Discente (+3 PE):* muda a área para 15 cubos com 1,5m de lado.
*Verdadeiro (+7 PE):* também afeta todos os tipos de minerais e metais. Requer 4º círculo.";Energia;3;6/9/13;Padrão;Longo;9 cubos com 1,5m de lado/15 cubos com 1,5m de lado/9 cubos com 1,5m de lado;;Instantânea;;veja texto;10d6;TRUE;TRUE;;;;4º círculo
77;Transfusão Vital;"Você toca no alvo e transfere sua própria energia vital para ele, podendo sofrer até 30 pontos de dano de Sangue para que o alvo recupere a mesma quantidade em PV. Você não pode ficar com menos de 1 PV por causa desse ritual.
*Discente (+3 PE):* Você pode transferir até 50 pontos de vida. Requer 3º círculo.
*Verdadeiro (+7 PE):* Você pode transferir até 100 pontos de vida. Requer 4º círculo.";Sangue;2;3/6/10;Padrão;Toque;;1 ser;Instantânea;;;;TRUE;TRUE;;;3º círculo;4º círculo
78;Velocidade Mortal;"Você distorce a passagem do tempo ao redor do alvo, tornando-o extremamente veloz. O alvo pode realizar uma ação de movimento adicional por turno. Esta ação não pode ser usada para conjurar rituais.
*Discente (+3 PE):* em vez de uma ação de movimento, o alvo recebe uma ação padrão adicional por turno.
*Verdadeiro (+7 PE):* muda o alvo para “alvos escolhidos”. Requer 4º círculo e afinidade.";Morte;2;3/6/10;Padrão;Curto;;1 ser//alvos escolhidos;Sustentada;;;;TRUE;TRUE;;;;4º círculo e afinidade
79;Vidência;"Através de uma superfície reflexiva, como um espelho, uma bacia de água ou mesmo uma TV desligada, você pode ver e ouvir um ser escolhido e seus arredores (cerca de 6m em qualquer direção). O alvo pode estar a qualquer distância, mas tem direito a um teste de resistência no início de cada um de seus turnos para impedir a Vidência naquele turno. Se o alvo passar em dois testes seguidos, o ritual é encerrado e o alvo fica imune a ele por uma semana. Para esse ritual funcionar, você precisa ter alguma informação sobre o alvo, como seu nome ou uma foto. Dependendo do conhecimento que você tiver dele, o alvo recebe bônus ou penalidades em seu teste de resistência.
*Você sabe o mínimo sobre o alvo:* +10.
*Você possui algumas informações sobre o alvo (idade, profissão...) ou já o viu pessoalmente:* +5.
*Você conhece bem o alvo:* -0.
*Você tem um pertence pessoal ou roupa do alvo:* -5.
*Você tem uma parte do corpo do alvo (unhas, cabelos...):* -10.";Conhecimento;3;6;Completa;Ilimitado;;1 ser;5 rodadas;;Vontade anula;;FALSE;FALSE;;;
80;Vínculo de Sangue;"Você manifesta um símbolo de Sangue no seu corpo e no corpo do alvo. Sempre que você sofrer dano, o alvo deve fazer um teste de Fortitude. Se ele falhar, você sofre apenas metade do dano e ele sofre a metade restante. Você pode conjurar o ritual com efeito inverso, fazendo com que você receba metade de todo o dano que o alvo receberia. Alvos voluntários não precisam fazer testes de resistência.";Sangue;4;10;Padrão;Curto;;1 ser;Cena;;Fortitude anula;;FALSE;FALSE;;;
81;Vomitar Pestes;"Você vomita um enxame de pequenas criaturas de Sangue, que surge em um ponto adjacente a sua escolha. O enxame pode passar pelo espaço de outros seres e não impede que outros seres entrem no espaço dele. No final de cada um de seus turnos, o enxame causa 5d12 pontos de dano de sangue a qualquer ser no espaço dele (Reflexos reduz à metade). Você pode gastar uma ação de movimento para mover o enxame com deslocamento de 12m.
*Discente (+2 PE):* além do normal, um alvo que falhe no teste de Reflexos fica agarrada (o enxame escala e cobre o corpo dele). O alvo pode gastar uma ação padrão e fazer um teste de Acrobacia ou Atletismo para escapar. Se você mover o enxame, o alvo fica livre.
*Verdadeiro (+5 PE):* o enxame vira Enorme (cubo de 6m de lado) e ganha deslocamento de voo 18m.";Sangue;3;6/8/11;Padrão;Médio;;-;Sustentada;1 enxame Grande (quadrado de 3m)/-/1 enxame Enorme (cubo de 6m de lado);Reflexos reduz à metade;5d12;TRUE;TRUE;;;;
82;Zerar Entropia;"Você zera completamente a entropia do alvo em relação ao ambiente, deixando-o paralisado. Se passar na resistência, em vez disso fica lento. No início de cada um de seus turnos, o alvo pode gastar uma ação completa para fazer um novo teste de Vontade. Se passar, encerra o efeito.
*Discente (+4 PE):* muda o alvo para “1 ser”. Requer 4º círculo.
*Verdadeiro (+11 PE):* muda o alvo para “seres escolhidos”. Requer 4º círculo e afinidade.";Morte;3;6/10/17;Padrão;Curto;;1 pessoa/1 ser/seres escolhidos;Cena;;Vontade parcial;;TRUE;TRUE;;;4º círculo;4º círculo e afinidade
