Codigo_Origem,Codigo_Regra,Codigo_Per_Regra,Nome,Descricao,Pericia_Treinada_1,Pericia_Treinada_2,Pericia_Treinada_Especial,Nome_Poder,Descricao_Poder,Fonte
51,11,,Transtornado Arrependido,"Você já caminhou entre os Transtornados. Talvez tenha sido um seguidor cego, seduzido pelas promessas de transcendência por meio da carne e da dor. Talvez tenha conhecido a natureza visceral do culto desde o início e ainda assim escolheu mergulhar no delírio. Seja como for, em algum momento algo rompeu o ciclo. Você se libertou, mas ainda sente o eco dos rituais e a presença do Sangue sussurrando na própria carne.",16,18,,Sofrimento de Sangue,"Eles podem tentar… mas já não dói mais. Você recebe RD 2/mental. Para cada dois rituais de Sangue ou poderes paranormais de Sangue que possua, a RD aumenta em +1. Contudo, a lembrança das desgraças que você viveu causa pesadelos horríveis, que o impedem de repousar tranquilamente. Sua condição de descanso é sempre uma categoria pior (luxuosa se torna confortável, confortável se torna normal e normal se torna precária).",AS1
52,,,Ufólogo,"Você sempre soube que não estávamos sozinhos no universo. Muitos já te consideraram um lunático, mas algo dizia que suas teorias sempre estavam no caminho certo. As intermináveis pesquisas sobre o espaço, sinais no céu e seres de outros planetas eventualmente te fizeram perceber que o oculto não mede distâncias. Onde há medo, há algo incompreensível para espreitar.",6,18,,Minha Teoria Absurda,"Uma vez por missão em que há algo a ser investigado, você pode gastar 10 minutos para apresentar ao seu grupo sua tese sobre as prováveis respostas para a investigação. Obviamente, isso deve ser feito antes de terem todas as respostas. Se, quando a missão acabar, sua tese se provar correta, você recebe +3 PE máximos e atuais.",AS5
53,,,Gaudério Abutre,"Você fez parte dos valorosos Gaudérios Abutres. Mesmo longe do motoclube, ainda segue o lema ""A gente morre por quem a gente ama"".",16,20,,Fraternidade Gaudéria,"Uma vez por rodada, quando um aliado adjacente é alvo de um ataque ou efeito, você pode gastar 1 PE para trocar de lugar com este aliado e se tornar o alvo deste ataque ou efeito. Se fizer isso, em seu próximo turno você recebe +2 em testes de ataque contra o agressor.",HQ OSNF PT1
54,4,,Ginasta,"Desde muito jovem, você passou a maior parte de sua vida em ginásios (ou talvez em antigos templos monásticos) praticando as mais difíceis acrobacias. Sua preparação foi árdua e dolorosa, mas aprimorou seu corpo, sua técnica e sua disciplina. Recrutado pela Ordo Realitas, essas se tornaram suas principais ferramentas para enfrentar o Outro lado. E com elas, você planeja fazer as criaturas paranormais sofrerem muito mais do que você sofreu em seus treinos.",1,23,,Mobilidade Acrobática,Você recebe +2 na Defesa e seu deslocamento aumenta em +3m.,HQ OSNF PT1
55,,,Revoltado,"Alguma coisa aconteceu em sua juventude que fez com que você se rebelasse contra o mundo ao seu redor. Talvez seus parentes tenham sido ausentes, por escolha ou por algum evento trágico, talvez outra perda tenha marcado seu coração. Qualquer que seja a razão, você possui iguais doses de rebeldia e independência e, acima de tudo, aprendeu a se virar sozinho. Recrutado pela Ordem, você luta por vingança - ou para que outros não passem pelo que você passou.",11,28,,Antes Só,"Você recebe +1 na Defesa, em testes de perícias e em seu limite de PE por turno se estiver sem nenhum aliado em alcance curto.",HQ OSNF PT1
56,,2,Amnésico,"Você perdeu a maior parte da memória. Sabe apenas o próprio nome, ou nem isso. Sua amnésia pode ser resultado de um trauma paranormal ou mesmo de um ritual. Talvez você tenha sido vítima de cultistas? Talvez você tenha sido um cultista? Seja como for, hoje a Ordem é a única família que conhece. Quem sabe, cumprindo missões, você descubra algo sobre seu passado.",,,Duas à escolha do mestre,Vislumbres do Passado,"Uma vez por sessão, você pode fazer um teste de Intelecto (DT 10) para reconhecer pessoas ou lugares familiares, que tenha encontrado antes de perder a memória. Se passar, recebe 1d4 PE temporários e, a critério do mestre, uma informação útil.",OPRPG
57,13,1,Profetizado,"Como qualquer pessoa, você vai morrer. Entretanto, diferente delas, você sabe como isso vai acontecer. De algum jeito, seja por pesadelos, pensamentos intrusivos ou até visões inesperadas, você tem uma premonição clara — ou misteriosa e enigmática — de como serão seus últimos momentos de vida. O mestre pode determinar essa “cena de morte” em segredo e revelar apenas os detalhes que você já premuniu ou ambos podem determinar as condições para esse inevitável falecimento. A cena pode ser bem detalhada ou conter apenas alguns sinais. Por exemplo: “você se vê pendurado em um gancho de carne, sangrando até desfalecer, no subsolo de um açougue” ou “a única coisa de que se lembra é da visão de um gancho”. Será que você é capaz de mudar seu próprio destino?",28,,"mais uma à sua escolha, relacionada a sua premonição.",Luta ou Fuga,"Conhecer os sinais de sua morte o deixa mais confiante, principalmente quando eles não estão presentes. Você recebe +2 em Vontade. Quando surge uma referência a sua premonição (um objeto semelhante a um gancho, por exemplo, para alguém cuja morte está ligada a morrer em um gancho de carne), uma onda de adrenalina toma seu corpo e seus instintos de luta ou fuga se intensificam. Além do bônus em Vontade, você recebe +2 PE temporários que duram até o fim da cena.",SaH
58,,1,Ferido por Ritual,"Você tinha uma vida ordinária, até sofrer os efeitos paranormais de um ritual (escolha entre Sangue, Morte, Conhecimento ou Energia). A partir de então, sua existência mundana foi deturpada pelo Outro Lado.",18,,"1 perícia definida pelo elemento do ritual (Fortitude para Sangue, Vontade para Morte e Conhecimento ou Reflexos para Energia).",Mácula Ritualística,"A entidade marcou você com um ritual de 1º círculo a sua escolha do elemento correspondente. Você aprende a conjurar o ritual. Além disso, uma vez por cena, pode conjurá-lo sem gastar PE (mas ainda precisa gastar PE para qualquer efeito adicional, como formas avançadas). Esse ritual não conta no seu limite de rituais conhecidos. Em contrapartida, sofre -1d20 em testes de resistência contra efeitos (como rituais ou poderes paranormais) desse elemento.",AS1
59,,3,Perdurante,"Um acidente ou evento paranormal causou seu corpo a ficar preso no tempo, enquanto sua mente se desvencilhou em um transe por anos. Agora desconectado da época em que vive, sua mente se negando a absorver conhecimento sobre ela, você se encontrou desamparado, mas encontrou um lugar onde pertence na Ordem.",,,veja abaixo,Fora de Época,"Escolha outra Origem. Isso é o que você fazia antes de ficar preso no tempo. Você recebe apenas uma das Perícias dessa Origem (à sua escolha) e recebe uma versão enfraquecida da Habilidade da Origem (o Mestre decide como essa fraqueza se parece). Além disso, você começa com um Poder de Classe (de qualquer classe, que pode ser Transcender com permissão do Mestre) adicional.",Homebrew
60,14,4,Depressivo,"Seus dias se resumem a falta de motivação seguida por cansaço extremo apenas por existir. De alguma forma, mesmo em sua rotina abatida, você entrou em contato com o paranormal e, subsequentemente, a Ordem. Você espera que que sua nova vida na Ordem desperte algo mais em seu cerne.",,,5 perícias à sua escolha.,Mente Frágil,Você começa com apenas dois terços de seus PE iniciais e sofre -2 em testes de Vontade.,Homebrew
61,,5,Perturbado,"Uma condição severa tomou conta de sua mente, seja de forma paranormal ou natural. Talvez você tenha sido salvo pela Ordem e, mesmo com a percepção da realidade rasgada, decidiu que vale a pena lutar para manter aqueles diferentes de você longe das garras da loucura.",,,Três perícias à sua escolha que não tenham Intelecto ou Vontade como atributo base,Furacão Mental,"Você começa o jogo com um efeito de insanidade permanente, metade da sua Sanidade inicial e resistência mental 10.",Homebrew
62,,1,Agente de Nascença,"Seja pelo motivo que for, você cresceu ao redor da Ordem. Talvez um de seus pais ou seu guardião legal seja um agente, ou você foi “adotado” por um dos líderes, de qualquer forma, você se preparou a vida toda para fazer parte da mesma, e não há quem diga que durante esses anos você não adquiriu alguns favores.",26,,A perícia fornecida por sua trilha e Tática,Agente Prodígio,Você diminui a categoria de dois itens à sua escolha (exceto armas) em 1.,Homebrew
63,,6,Recluso,"Seja por vontade própria ou por ter sido linchado pela sociedade, você passa seus dias completamente solitário, mas não necessariamente sozinho. Você observa de longe, aprendendo o que pode sobre as pessoas e locais à sua volta.",11,19,14,Observador Nato,Você têm +2d20 em testes de Intuição contra pessoas que estejam alheias à sua presença e em testes de Percepção para observar enquanto estiver escondido.,Homebrew
64,,6,Dançarino,"Seu corpo se move como um pincel em uma folha de papel, pintando sentimentos e histórias com movimentos graciosos e detalhados quando numa peça refinada, ou bruscos e amplos quando numa peça bruta. Independente do estilo que seja sua especialidade, você encontra uma forma de aplicar sua maestria corporal em seu combate contra o paranormal.",3,1,4,Graciosidade Superba,"Você recebe +3 na defesa. Além disso, se escolher Acrobacia como a sua segunda perícia, você recebe +2 em testes de Reflexo, e se escolher Atletismo como sua segunda perícia, você recebe +2 em testes de Fortitude.",Homebrew
65,,,Papiloscopista,"Você era um artista da polícia que fazia os retratos falados de criminosos. Durante um de seus trabalhos, uma vítima descreveu um criminoso com características impossíveis, e isso o levou a uma investigação pessoal que revelou para você a existência do paranormal, ou até da Ordem. Hoje, você usa suas habilidades imaginativas para encontrar e combater ocultistas e criaturas.",3,15,,Investigação Recognitiva,"Uma vez por missão, você pode fazer um teste de Artes para desenhar uma pessoa ou criatura baseado em sua descrição. Quando o faz, você e seus aliados recebem +5 em todos os testes baseados em Intelecto que fizerem contra esse ser até o fim da missão.",Homebrew
66,,,Engenheiro de Minas,"Você é um mestre em planejar escavações e coletas de matéria bruta das profundezas da terra, tendo conhecimento geral de maquinário, terraplanagem e até geologia. Durante um de seus projetos, um fenômeno paranormal subterrâneo foi desacobertado, eventualmente te levando à descoberta da Ordem.",6,26,,Planejador Nato,"Ao fazer a ação Analisar Terreno da perícia Tática, além do bônus normal, você e seus aliados também ignoram terreno difícil até o fim da cena.",Homebrew
67,,,Historiador,"Seu trabalho como historiador te levou a viajar boa parte do mundo, sempre atrás do próximo estudo, do próximo artefato, até que seus estudos te levaram longe demais. Seja por ter encontrado o Paranormal em uma de suas expedições ou ter recebido um artefato misterioso no conforto de seu escritório, o conhecimento do Outro Lado te levou à Ordem, onde você continua seus estudos, mas, agora, por uma razão… maior.",5,15,,Reconstruir o Passado,Você já tem costume em deduzir informações baseado em quantidades minúsculas de informação. Você recebe duas pistas adicionais ao Revisar o Caso.,Homebrew
68,,,Cavaleiro,"Vindo de um lugar remoto que ainda possui uma sociedade medieval de reinado, você fazia parte da Guarda Real. Seja por vontade própria ou por ter sido banido, você agora se encontra numa sociedade infinitamente mais complexa, onde seu código moral tem dificuldade de acompanhar as nuances sociais.",10,16,,Armadura Real,"Enquanto estiver vestindo uma Proteção Pesada, sempre que acertar um ataque corpo a corpo com uma arma de duas mãos, você adiciona metade do valor de Defesa concedido pela proteção em sua rolagem de dano.",Homebrew
69,15,,Bully,"Durante a escola, você era a criança mais perigosa do parquinho, e cresceu sendo o mesmo. Sua arrogância e ego sem igual são, infelizmente, uma ferramenta útil na luta contra o paranormal. Afinal, como as garras da loucura seriam capazes de agarrar alguém tão obstinado e confiante?",13,28,,Cruel,"Você recebe resistência mental igual a metade de seu bônus de Intimidação, arredondado para cima.",Homebrew
70,,,Investigador Paranormal,"Você era um investigador particular ou detetive da polícia que lidava com casos inexplicáveis. Seus resultados podem ter chamado a atenção da Ordem, ou talvez você tenha descoberto a Ordem em suas investigações.",15,18,,Algo Que Aprendi por Aí,Você começa sabendo um ritual de primeiro círculo de sua escolha. Este ritual não conta para o seu limite de rituais conhecidos.,Homebrew
71,,,Guarda Costas,"Você era um guarda costas, seja para uma celebridade, um poderoso criminoso, ou até à contrato. Após perceber que um de seus clientes realizava rituais ou outras atividades paranormais, você decidiu usar sua força e experiência para combatê-los.",13,16,,Pose Estóica,Você recebe +2d20 em testes de Intimidação.,Homebrew
72,,,Corredor Automobilístico,"Não um conceito arquitetônico, mas um maníaco por velocidade. Em sua carreira fazendo corridas, sendo clandestinas ou oficiais, você ganhou proficiência excepcional com veículos, além de certas capacidades sociais, até porquê, o que é uma corrida sem um show? Nem sempre os inimigos da Ordem ficam parados, e não tem ninguém melhor que você para alcançar até os mais rápidos entre eles.",8,20,,Maluco na Estrada,O costume com velocidade extrema fez com que qualquer outra situação pareça brincadeira de criança. Você não precisa fazer testes de Pilotagem em situações ruins e a DT dos testes por dirigir em condição terrível diminui em -5.,Homebrew
73,,,Ator,"Outras vidas te inundam num piscar de olhos. Você molda sua personalidade como massinha, criando máscaras invisíveis que te permitem passar pelas armaduras dos outros como e quando desejar. Até hoje, não houve ninguém capaz de se comparar com sua habilidade em não ser você mesmo.",3,9,,Ditirambo,"Sempre que faz um teste de Enganação (ou Diplomacia e Intimidação também, com permissão do Mestre) para qualquer uso exceto Falsificação, você adiciona seu valor de Artes no resultado do teste. Se tirar 18, 19 ou 20 no dado, porém, você sofre 2 pontos de dano de Sanidade, se perdendo no papel.",Homebrew
74,,,Músico,"O poder da música preenche sua alma como a vibração de um bass que chacoalha seu corpo. Do metal mais pesado ao clássico mais refinado, você entende a música como uma história, uma conversa, uma entidade que está ao nosso redor a todo momento. ",3,19,,Ouvido Absoluto,"Você pode gastar uma ação padrão para parar e ouvir o ritmo de tudo ao seu redor, te fornecendo uma clareza de tudo que está presente. Você deve fazer um teste de Percepção DT 15, se passar, sabe a direção geral de cada ser e objeto que se moveu pelo menos três metros na última rodada e que ainda esteja em alcance curto de você. Se algo saiu de alcance curto de você, você sabe disso.",Homebrew
75,,,Escritor,"As palavras te chamam, te guiam, te mostram. São tanto uma ferramenta quanto parte de você, e você sabe as brandir com elegância e precisão. Durante sua carreira como escritor, aprendeu a compreender conceitos e organizar informações de forma excepcionalmente prática e, agora, usa essas habilidades para na luta contra o paranormal.",3,14,,Mapa Mental,"Sempre que faz a ação Revisar o Caso numa cena de interlúdio, você tem direito a um teste de Intuição de DT20 ou igual a DT mais alta dentre as informações encontradas, o que for mais alto. Se passar, você recebe duas pistas adicionais além do que você normalmente receberia.",Homebrew
76,,,Cantor,"Para você, não há nada mais reconfortante que o calor de suas cordas vocais aquecidas por uma boa performance. As palavras podem nem ser suas, mas você as domina de forma espetacular. Não há quem não fique impressionado com sua presença, e você sabe disso.",3,10,,Alma da Festa,"Durante uma cena de Interlúdio, sempre que faz uma ação que não seja Dormir ou Relaxar, você pode gastar 3 PE para realizá-la enquanto canta, inspirando e animando seus aliados. Esta ação agora conta como dois personagens usando Relaxar quando considerando pontos adicionais por participantes.",Homebrew
77,,,Pintor,"Seu trabalho é delicado e excruciante, mas anos o repetindo lhe concedeu paciência e autocontrole invejáveis. Mais que isso, você possui um entendimento de formas e técnicas mais profundo que qualquer um. Por anos você esteve procurando sua musa, o objeto supremo para ser o foco de suas pinturas. Talvez, em uma de suas missões com a Ordem, você o encontrará.",3,28,,Procurar a Musa,"Quando faz uma cena de interlúdio, você pode usar duas ações para Pintar um quadro para um aliado. Essa ação recupera pontos de sanidade de você e do aliado escolhido igual ao dobro do que recuperariam fazendo a ação Relaxar. Pintar conta como Relaxar quando considerando pontos adicionais por participantes.",Homebrew
78,,,Influencer,"Muitos não consideram sua carreira como uma forma de arte, e talvez nem mesmo você considere. O que você sabe, porém, é como fazer os outros acreditarem que você ama esse trabalho, não importa como você esteja se sentindo na hora de tirar uma foto ou gravar um vídeo.",3,4,,Dá o Like e Se Inscreve,"Escolha uma perícia (exceto Luta e Pontaria). Essa perícia representa o tipo de conteúdo que você produz ou produzia antes de entrar para a Ordem. Sempre que faz um teste dessa perícia, você pode gastar 5 PE para adicionar seu bônus de Artes ao teste.",Homebrew
79,,,Anfitrião,"Apresentadores de TV, mestres de picadeiro, guias de parques temáticos, todos são exemplos de anfitriões profissionais. Você, sendo um deles, tem uma personalidade bombástica e entusiasmada, ou pelo menos, sabe fingir ter uma muito bem. Mais que tudo, você é um mestre em garantir que o show continue nos trilhos.",3,8,,O Rei do Show,"Em qualquer cena em que você ou um aliado em alcance curto esteja tentando receber respostas de um personagem (como em uma interrogação, por exemplo), você pode escolher passar automaticamente num teste de perícia para receber uma resposta, mas a quantidade de perguntas que você pode perguntar diminui em 1 (se for uma interrogação pode fazer uma pergunta a menos, se for uma cena de investigação a urgência aumenta em 1, etc.)",Homebrew
80,,,Repórter,"Poucos entendem a importância de um repórter, a janela por qual é disseminada cada gota de informação. Muitas vezes são ignorados, pois não são os responsáveis pelas descobertas magníficas das quais falam. Você é um caso interessante, não teve envolvimento nenhum com o evento paranormal que iniciou sua carreira na Ordem, mas foi brevemente responsável pela disseminação de sua existência. Alguns te chamariam de ocultista por isso.",5,8,,Eloquência Informativa,"No final da missão, se você for o responsável por dar o relatório final, você e seus aliados recebem +5 pontos de prestígio.",Homebrew
81,,2,Amnésico,"Você perdeu a maior parte da memória. Sabe apenas o próprio nome, ou nem isso. Sua amnésia pode ser resultado de um trauma paranormal ou mesmo de um ritual. Talvez você tenha sido vítima de cultistas? Talvez você tenha sido um cultista? Seja como for, hoje a Ordem é a única família que conhece. Quem sabe, cumprindo missões, você descubra algo sobre seu passado.",,,Duas à escolha do mestre.,Vislumbres do Passado,"Uma vez por sessão, você pode fazer um teste de Intelecto (DT 10) para reconhecer pessoas ou lugares familiares, que tenha encontrado antes de perder a memória. Se passar, recebe 1d4 PE temporários e, a critério do mestre, uma informação útil.",OPRPG
82,,2,Clone,"Você não sabe quando, como, se é o original ou a cópia, mas em algum outro lugar existe uma sósia perfeita de você, e você suspeita que um de vocês seja um clone e, provavelmente, ele suspeita também.",,,Duas à escolha do mestre.,Cópia Barata,"Sua existência é apenas uma cópia de outra pessoa, até certo ponto. Antes de você fazer sua ficha, o mestre deve ter um bom entendimento da personalidade de sua sósia. O mestre, então, deve te acompanhar em seu processo de criação, e sempre que você fizer uma escolha (como Classe, Trilha, Poderes, etc.), o mestre deve, logo antes, te dar sugestões, que representam o que sua sósia escolheria. Cada vez, você deve escolher se conformar com seus instintos, ou desobedecê-los, se forçando a agir como alguém novo. O mestre anota quantas vezes você decidiu se conformar e desobedecer, se você se conformou mais vezes que desobedeceu, você recebe +1d20 em ambas as perícias fornecidas por esta origem, mas -5 em Vontade, e é considerado uma Cópia, se você desobedeceu mais vezes que se conformou, você recebe +2d20 em testes de Vontade, mas -2 em ambas as perícias fornecidas por esta origem, e é considerado um Indivíduo. Se as escolhas empataram, você pode escolher ser uma Cópia ou um Indivíduo. Conforme avança de nível e faz novas escolhas, você pode mudar entre Cópia e Indivíduo.
Ao se encontrar cara a cara com sua sósia, suas ações sobre ela são determinadas por como você se sente sobre ela. Se você for uma Cópia, fica obcecado em tomar seu lugar, se for um Indivíduo, fica obcecado em a destruir.",Homebrew
83,,7,Aviador,"Seja por trabalho ou por apenas desejar uma vida tranquila e isolada no alto do céu, você tem uma proficiência excepcional com veículos aéreos. A Ordem constantemente faz missões internacionais, é seu trabalho levar seus parceiros até onde eles precisam chegar.",,,Veterano em Pilotagem,Filho dos Céus,Você recebe +5 em testes de Pilotagem para pilotar veículos aéreos.,Homebrew
